,name,volume,market_cap,floor_price,Avg_price,sales,assets,owners,owners_per
405,Link3 Mini Shard,BNB Chain,52.96 BNB,16.57%,0.1596 BNB,0.0189 BNB,0.1235 BNB,429,54.07%
406,Imaginary Ones,Ethereum,8.8165 ETH,7.29%,"7,216.17 ETH",0.7428 ETH,0.6782 ETH,13,9.22%
407,World Of Women,Ethereum,8.6697 ETH,235.19%,"7,692 ETH",0.9299 ETH,0.9633 ETH,9,11.73%
408,Solana Monkey Business,Solana,772.5 SOL,4.24%,"1,017,131.62 SOL",187 SOL,193.13 SOL,4,1192.78%
409,Wolf Capital,Solana,745.68 SOL,9.42%,"41,301.87 SOL",4.941 SOL,5.1784 SOL,144,39.54%
410,PudgyPresent,Ethereum,8.1539 ETH,85.44%,"2,567.45 ETH",0.38 ETH,0.6272 ETH,13,71.17%
411,MERGE VV,Ethereum,8.1413 ETH,37.61%,626.23 ETH,0.028 ETH,0.02887 ETH,282,9.51%
412,Taiyo Pilots,Solana,725.7 SOL,7.87%,"153,002.94 SOL",8.0564 SOL,8.3413 SOL,87,56.90%
413,Gemesis,Ethereum,2.9573 ETH,42.10%,"2,861.66 ETH",0.026 ETH,0.02957 ETH,100,3.88%
414,AcceptanceLtr,Ethereum,2.9332 ETH,18.61%,0.3108 ETH,0.0195 ETH,0.04731 ETH,62,14.20%
415,goblintown,Ethereum,2.931 ETH,46.58%,"2,468.75 ETH",0.2348 ETH,0.2255 ETH,13,5.48%
416,MERGE,Ethereum,2.903 ETH,326.47%,"2,022 ETH",0.2499 ETH,0.2233 ETH,13,1.58%
417,Kagami,Ethereum,2.8999 ETH,2.25%,"1,329.75 ETH",1.5499 ETH,1.45 ETH,2,2.25%
418,Kubz Relic,Ethereum,2.899 ETH,28.50%,"1,049.26 ETH",0.0148 ETH,0.0223 ETH,130,43.66%
419,SHIBOSHIS,Ethereum,2.8499 ETH,183.63%,"2,249 ETH",0.3 ETH,0.2591 ETH,11,3.14%
420,Terraforms,Ethereum,2.83 ETH,86.57%,"12,803.72 ETH",1.3869 ETH,1.415 ETH,2,26.12%
421,For a Limited Time,Ethereum,2.8178 ETH,773.28%,56.25 ETH,0.15 ETH,0.1084 ETH,26,34.35%
422,CHIBI DINOS,Ethereum,2.7476 ETH,3379.96%,677 ETH,0.08 ETH,0.08863 ETH,31,12.26%
423,Etheria Wrapper v1pt0 2015-10-22,Ethereum,2.7203 ETH,58.13%,662.72 ETH,3.95 ETH,2.7203 ETH,1,-
424,Jikan Studios,Solana,243.24 SOL,0.61%,"41,135.02 SOL",6.1209 SOL,6.401 SOL,38,29.80%
425,Introducing World App,Ethereum,2.7051 ETH,15.04%,"1,666.04 ETH",0.0157 ETH,0.01454 ETH,186,6.61%
426,Asprey Studio Club,Ethereum,2.7 ETH,58.82%,548.85 ETH,3.1 ETH,2.7 ETH,1,-
427,Pi DAO Club c0737c,Polygon,"5,237.12 MATIC",50.04%,"2,558,911.1 MATIC",10.13 MATIC,201.43 MATIC,26,42.35%
428,Mocaverse,Ethereum,2.61 ETH,62.11%,"5,310.58 ETH",0.7 ETH,0.6525 ETH,4,21.58%
429,Ordinal Kubz,Ethereum,2.5877 ETH,116.28%,"2,195 ETH",0.26 ETH,0.2352 ETH,11,1.69%
430,NFT3 e8a995,Polygon,"5,147 MATIC",0.02%,"2,537,131.05 MATIC","1,700 MATIC","1,715.67 MATIC",3,33.32%
